SOLUTION_MASTER_SPECIES
#element	master species	alkalinity	gfw|formula	gfw of element	source
C(-3)	C2H6	0.0	C2H6	None	#llnl.dat
C(-2)	C2H4	0.0	C2H4	None	#llnl.dat
C	HCO3-	1.0	HCO3	12.0110	#llnl.dat
C(+2)	CO	0	C	None	#llnl.dat
C(+4)	HCO3-	1.0	HCO3	None	#llnl.dat
Ca	Ca+2	0.0	Ca	40.078	#llnl.dat
Cyanide	Cyanide-	1.0	CN	26.	#llnl.dat
Cd	Cd+2	0.0	Cd	112.411	#llnl.dat
Ce	Ce+3	0.0	Ce	140.115	#llnl.dat
Ce(+2)	Ce+2	0.0	Ce	None	#llnl.dat
Ce(+3)	Ce+3	0.0	Ce	None	#llnl.dat
Ce(+4)	Ce+4	0.0	Ce	None	#llnl.dat
Cl	Cl-	0.0	Cl	35.4527	#llnl.dat
Cl(-1)	Cl-	0	Cl	None	#llnl.dat
Cl(+1)	ClO-	0	Cl	None	#llnl.dat
Cl(+3)	ClO2-	0	Cl	None	#llnl.dat
Cl(+5)	ClO3-	0	Cl	None	#llnl.dat
Cl(+7)	ClO4-	0	Cl	None	#llnl.dat
Co	Co+2	0.0	Co	58.9332	#llnl.dat
Co(+2)	Co+2	0.0	Co	None	#llnl.dat
Co(+3)	Co+3	0.0	Co	None	#llnl.dat
Cr	CrO4-2	0.0	CrO4-2	51.9961	#llnl.dat
Cr(+2)	Cr+2	0.0	Cr	None	#llnl.dat
Cr(+3)	Cr+3	0.0	Cr	None	#llnl.dat
Cr(+5)	CrO4-3	0.0	Cr	None	#llnl.dat
Cr(+6)	CrO4-2	0.0	Cr	None	#llnl.dat
Cs	Cs+	0.0	Cs	132.9054	#llnl.dat
Cu	Cu+2	0.0	Cu	63.546	#llnl.dat
Cu(+1)	Cu+1	0.0	Cu	None	#llnl.dat
Cu(+2)	Cu+2	0.0	Cu	None	#llnl.dat
Dy	Dy+3	0.0	Dy	162.50	#llnl.dat
Dy(+2)	Dy+2	0.0	Dy	None	#llnl.dat
Dy(+3)	Dy+3	0.0	Dy	None	#llnl.dat
E	e-	0.0	0.0	0.0	#llnl.dat
Er	Er+3	0.0	Er	167.26	#llnl.dat
Er(+2)	Er+2	0.0	Er	None	#llnl.dat
Er(+3)	Er+3	0.0	Er	None	#llnl.dat
Ethylene	Ethylene	0.0	Ethylene	28.0536	#llnl.dat
Eu	Eu+3	0.0	Eu	151.965	#llnl.dat
Eu(+2)	Eu+2	0.0	Eu	None	#llnl.dat
Eu(+3)	Eu+3	0.0	Eu	None	#llnl.dat
F	F-	0.0	F	18.9984	#llnl.dat
Fe	Fe+2	0.0	Fe	55.847	#llnl.dat
Fe(+2)	Fe+2	0.0	Fe	None	#llnl.dat
Fe(+3)	Fe+3	-2.0	Fe	None	#llnl.dat
Ga	Ga+3	0.0	Ga	69.723	#llnl.dat
Gd	Gd+3	0.0	Gd	157.25	#llnl.dat
Gd(+2)	Gd+2	0.0	Gd	None	#llnl.dat
Gd(+3)	Gd+3	0.0	Gd	None	#llnl.dat
H	H+	-1.	H	1.0079	#llnl.dat
H(0)	H2	0.0	H	None	#llnl.dat
H(+1)	H+	-1.	0.0	None	#llnl.dat
He	He	0.0	He	4.0026	#llnl.dat
He(0)	He	0.0	He	None	#llnl.dat
Hf	Hf+4	0.0	Hf	178.49	#llnl.dat
Hg	Hg+2	0.0	Hg	200.59	#llnl.dat
Hg(+1)	Hg2+2	0.0	Hg	None	#llnl.dat
Hg(+2)	Hg+2	0.0	Hg	None	#llnl.dat
Ho	Ho+3	0.0	Ho	164.9303	#llnl.dat
Ho(+2)	Ho+2	0.0	Ho	None	#llnl.dat
Ho(+3)	Ho+3	0.0	Ho	None	#llnl.dat
I	I-	0.0	I	126.9045	#llnl.dat
I(-03)	I3-	0	I	None	#llnl.dat
I(-1)	I-	0.0	I	None	#llnl.dat
I(+1)	IO-	0.0	I	None	#llnl.dat
I(+5)	IO3-	0.0	I	None	#llnl.dat
I(+7)	IO4-	0.0	I	None	#llnl.dat
In	In+3	0.0	In	114.82	#llnl.dat
K	K+	0.0	K	39.0983	#llnl.dat
Kr	Kr	0.0	Kr	83.80	#llnl.dat
Kr(0)	Kr	0.0	Kr	None	#llnl.dat
La	La+3	0.0	La	138.9055	#llnl.dat
La(+2)	La+2	0	La	None	#llnl.dat
La(+3)	La+3	0	La	None	#llnl.dat
Li	Li+	0.0	Li	6.9410	#llnl.dat
Lu	Lu+3	0.0	Lu	174.967	#llnl.dat
Mg	Mg+2	0.0	Mg	24.305	#llnl.dat
Mn	Mn+2	0.0	Mn	54.938	#llnl.dat
Mn(+2)	Mn+2	0.0	Mn	None	#llnl.dat
Mn(+3)	Mn+3	0.0	Mn	None	#llnl.dat
Mn(+6)	MnO4-2	0	Mn	None	#llnl.dat
Mn(+7)	MnO4-	0	Mn	None	#llnl.dat
Mo	MoO4-2	0.0	Mo	95.94	#llnl.dat
N	NH3	1.0	N	14.0067	#llnl.dat
N(-3)	NH3	1.0	N	None	#llnl.dat
N(-03)	N3-	0.0	N	None	#llnl.dat
N(0)	N2	0.0	N	None	#llnl.dat
N(+3)	NO2-	0.0	N	None	#llnl.dat
N(+5)	NO3-	0.0	N	None	#llnl.dat
Na	Na+	0.0	Na	22.9898	#llnl.dat
Nd	Nd+3	0.0	Nd	144.24	#llnl.dat
Nd(+2)	Nd+2	0.0	Nd	None	#llnl.dat
Nd(+3)	Nd+3	0.0	Nd	None	#llnl.dat
Ne	Ne	0.0	Ne	20.1797	#llnl.dat
Ni	Ni+2	0.0	Ni	58.69	#llnl.dat
Np	Np+4	0.0	Np	237.048	#llnl.dat
Np(+3)	Np+3	0.0	Np	None	#llnl.dat
Np(+4)	Np+4	0.0	Np	None	#llnl.dat
Np(+5)	NpO2+	0.0	Np	None	#llnl.dat
Np(+6)	NpO2+2	0.0	Np	None	#llnl.dat
O	H2O	0.0	O	15.994	#llnl.dat
O(-2)	H2O	0.0	0.0	None	#llnl.dat
O(0)	O2	0.0	O	None	#llnl.dat
O_phthalate	O_phthalate-2	0	1	1	#llnl.dat
P	HPO4-2	2.0	P	30.9738	#llnl.dat
P(-3)	PH4+	0	P	None	#llnl.dat
P(+5)	HPO4-2	2.0	P	None	#llnl.dat
Pb	Pb+2	0.0	Pb	207.20	#llnl.dat
Pb(+2)	Pb+2	0.0	Pb	None	#llnl.dat
Pb(+4)	Pb+4	0.0	Pb	None	#llnl.dat
Pd	Pd+2	0.0	Pd	106.42	#llnl.dat
Pm	Pm+3	0.0	Pm	147.00	#llnl.dat
Pm(+2)	Pm+2	0.0	Pm	None	#llnl.dat
Pm(+3)	Pm+3	0.0	Pm	None	#llnl.dat
Pr	Pr+3	0.0	Pr	140.9076	#llnl.dat
Pr(+2)	Pr+2	0.0	Pr	None	#llnl.dat
Pr(+3)	Pr+3	0.0	Pr	None	#llnl.dat
Pu	Pu+4	0.0	Pu	244.00	#llnl.dat
Pu(+3)	Pu+3	0.0	Pu	None	#llnl.dat
Pu(+4)	Pu+4	0.0	Pu	None	#llnl.dat
Pu(+5)	PuO2+	0.0	Pu	None	#llnl.dat
Pu(+6)	PuO2+2	0.0	Pu	None	#llnl.dat
Ra	Ra+2	0.0	Ra	226.025	#llnl.dat
Rb	Rb+	0.0	Rb	85.4678	#llnl.dat
Re	ReO4-	0.0	Re	186.207	#llnl.dat
Rn	Rn	0.0	Rn	222.00	#llnl.dat
Ru	RuO4-2	0.0	Ru	101.07	#llnl.dat
Ru(+2)	Ru+2	0.0	Ru	None	#llnl.dat
Ru(+3)	Ru+3	0.0	Ru	None	#llnl.dat
Ru(+4)	Ru(OH)2+2	0.0	Ru	None	#llnl.dat
Ru(+6)	RuO4-2	0.0	Ru	None	#llnl.dat
Ru(+7)	RuO4-	0.0	Ru	None	#llnl.dat
Ru(+8)	RuO4	0.0	Ru	None	#llnl.dat
S	SO4-2	0.0	SO4	32.066	#llnl.dat
S(-2)	HS-	1.0	S	None	#llnl.dat
S(+2)	S2O3-2	0.0	S	None	#llnl.dat
S(+3)	S2O4-2	0.0	S	None	#llnl.dat
S(+4)	SO3-2	0.0	S	None	#llnl.dat
S(+5)	S2O5-2	0.0	S	None	#llnl.dat
S(+6)	SO4-2	0.0	SO4	None	#llnl.dat
S(+7)	S2O8-2	0.0	S	None	#llnl.dat
S(+8)	HSO5-	0.0	S	None	#llnl.dat
Sb	Sb(OH)3	0.0	Sb	121.75	#llnl.dat
Sc	Sc+3	0.0	Sc	44.9559	#llnl.dat
Se	SeO3-2	0.0	Se	78.96	#llnl.dat
Se(-2)	HSe-	0.0	Se	None	#llnl.dat
Se(+4)	SeO3-2	0.0	Se	None	#llnl.dat
Se(+6)	SeO4-2	0.0	Se	None	#llnl.dat
Si	SiO2	0.0	SiO2	28.0855	#llnl.dat
Sm	Sm+3	0.0	Sm	150.36	#llnl.dat
Sm(+2)	Sm+2	0.0	Sm	None	#llnl.dat
Sm(+3)	Sm+3	0.0	Sm	None	#llnl.dat
Sn	Sn+2	0.0	Sn	118.71	#llnl.dat
Sn(+2)	Sn+2	0.0	Sn	None	#llnl.dat
Sn(+4)	Sn+4	0.0	Sn	None	#llnl.dat
Sr	Sr+2	0.0	Sr	87.62	#llnl.dat
Tb	Tb+3	0.0	Tb	158.9253	#llnl.dat
Tb(+2)	Tb+2	0.0	Tb	None	#llnl.dat
Tb(+3)	Tb+3	0.0	Tb	None	#llnl.dat
Tc	TcO4-	0.0	Tc	98.00	#llnl.dat
Tc(+3)	Tc+3	0.0	Tc	None	#llnl.dat
Tc(+4)	TcO+2	0.0	Tc	None	#llnl.dat
Tc(+5)	TcO4-3	0.0	Tc	None	#llnl.dat
Tc(+6)	TcO4-2	0.0	Tc	None	#llnl.dat
Tc(+7)	TcO4-	0.0	Tc	None	#llnl.dat
Thiocyanate	Thiocyanate-	0.0	SCN	58.	#llnl.dat
Th	Th+4	0.0	Th	232.0381	#llnl.dat
Ti	Ti(OH)4	0.0	Ti	47.88	#llnl.dat
Tl	Tl+	0.0	Tl	204.3833	#llnl.dat
Tl(+1)	Tl+	0.0	Tl	None	#llnl.dat
Tl(+3)	Tl+3	0.0	Tl	None	#llnl.dat
Tm	Tm+3	0.0	Tm	168.9342	#llnl.dat
Tm(+2)	Tm+2	0.0	Tm	None	#llnl.dat
Tm(+3)	Tm+3	0.0	Tm	None	#llnl.dat
U	UO2+2	0.0	U	238.0289	#llnl.dat
U(+3)	U+3	0.0	U	None	#llnl.dat
U(+4)	U+4	0.0	U	None	#llnl.dat
U(+5)	UO2+	0.0	U	None	#llnl.dat
U(+6)	UO2+2	0.0	U	None	#llnl.dat
V	VO+2	0.0	V	50.9415	#llnl.dat
V(+3)	V+3	0.0	V	None	#llnl.dat
V(+4)	VO+2	0.0	V	None	#llnl.dat
V(+5)	VO2+	0.0	V	None	#llnl.dat
W	WO4-2	0.0	W	183.85	#llnl.dat
Xe	Xe	0.0	Xe	131.29	#llnl.dat
Xe(0)	Xe	0.0	Xe	None	#llnl.dat
Y	Y+3	0.0	Y	88.9059	#llnl.dat
Yb	Yb+3	0.0	Yb	173.04	#llnl.dat
Yb(+2)	Yb+2	0.0	Yb	None	#llnl.dat
Yb(+3)	Yb+3	0.0	Yb	None	#llnl.dat
Zn	Zn+2	0.0	Zn	65.39	#llnl.dat
Zr	Zr(OH)2+2	0.0	Zr	91.224	#llnl.dat
Alkalinity	CO3-2	1.0	50.05	50.05	#Tipping_Hurley.dat
As	H3AsO4	-1.0	74.9216	74.9216	#Tipping_Hurley.dat
As(+3)	H3AsO3	0.0	74.9216	74.9216	#Tipping_Hurley.dat
As(+5)	H3AsO4	-1.0	74.9216	None	#Tipping_Hurley.dat
B	H3BO3	0.0	10.81	10.81	#Tipping_Hurley.dat
C	CO3-2	2.0	61.0173	12.0111	#Tipping_Hurley.dat
C(+4)	CO3-2	2.0	61.0173	None	#Tipping_Hurley.dat
Fulvate	Fulvate-2	0.0	650.	650.	#Tipping_Hurley.dat
Humate	Humate-2	0.0	2000.	2000.	#Tipping_Hurley.dat
N	NO3-	0.0	14.0067	14.0067	#Tipping_Hurley.dat
N(-3)	NH4+	0.0	14.0067	None	#Tipping_Hurley.dat
P	PO4-3	2.0	30.9738	30.9738	#Tipping_Hurley.dat
S(-2)	H2S	0.0	32.064	None	#Tipping_Hurley.dat
Se	SeO4-2	0.0	78.96	78.96	#Tipping_Hurley.dat
Si	H4SiO4	0.0	60.0843	28.0843	#Tipping_Hurley.dat
Hdg	Hdg	0	Hdg	2.016	#phreeqc.dat
Oxg	Oxg	0	Oxg	32	#phreeqc.dat
Mtg	Mtg	0	Mtg	16.032	#phreeqc.dat
Sg	H2Sg	1.0	H2Sg	34.08	#phreeqc.dat
Ntg	Ntg	0	Ntg	28.0134	#phreeqc.dat
Acetate	Acetate-	0	Acetate	59.01	#sit.dat
Adipate	Adipate-2	0	Adipate	144.07	#sit.dat
As	AsO4-3	0	As	74.9216	#sit.dat
As(+3)	H3(AsO3)	0	As	74.9216	#sit.dat
As(+5)	AsO4-3	2	As	74.9216	#sit.dat
B	B(OH)4-	1	B	10.811	#sit.dat
Cit	Cit-3	0	Cit	189.1013	#sit.dat
Cm	Cm+3	0	Cm	247	#sit.dat
Cn	Cn-	0	Cn	26.018	#sit.dat
Cu(+1)	Cu+	0	Cu	63.546	#sit.dat
Edta	Edta-4	0	Edta	288.2134	#sit.dat
Glu	HGlu-	0	Glu	195.1459	#sit.dat
Isa	HIsa-	0	HIsa	180.1548	#sit.dat
Malonate	Malonate-2	0	Malonate	63.99	#sit.dat
Nb	Nb(OH)6-	0	Nb	92.9064	#sit.dat
Np	NpO2+2	0	Np	237.048	#sit.dat
Nta	Nta-3	0	Nta	188.1165	#sit.dat
Ox	Ox-2	0	Ox	88.0196	#sit.dat
P	H2(PO4)-	1	P	30.9738	#sit.dat
Pa	Pa+4	0	Pa	231.0359	#sit.dat
Pa(+4)	Pa+4	0	Pa	231.0359	#sit.dat
Pa(+5)	PaO2+	0	Pa	231.0359	#sit.dat
Phthalat	Phthalat-2	0	Phthalat	164.084	#sit.dat
Pu	PuO2+2	0	Pu	244	#sit.dat
Pyrophos	Pyrophos-4	0	Pyrophos	173.95	#sit.dat
Sb(+3)	Sb(OH)3	0	Sb	121.76	#sit.dat
Sb(+5)	Sb(OH)5	0	Sb	121.76	#sit.dat
Scn	Scn-	0	Scn	58.084	#sit.dat
Si	H4(SiO4)	0	Si	28.0855	#sit.dat
Suberate	Suberate-2	0	Suberate	170.16	#sit.dat
Succinat	Succinat-2	0	Succinat	116.07	#sit.dat
Tc	TcO(OH)2	0	Tc	98	#sit.dat
Tc(+4)	TcO(OH)2	0	Tc	98	#sit.dat
Zr	Zr+4	-4	Zr	91.22	#sit.dat
Dom_a	Dom_a	0.0	C	12.0111	#minteq.v4.dat
Dom_b	Dom_b	0.0	C	12.0111	#minteq.v4.dat
Dom_c	Dom_c	0.0	C	12.0111	#minteq.v4.dat
Co	Co+3	-1.0	Co	58.9332	#minteq.v4.dat
Cr(+3)	Cr(OH)2+	0.0	Cr	None	#minteq.v4.dat
Fe	Fe+3	-2.0	Fe	55.847	#minteq.v4.dat
Hg	Hg(OH)2	0.0	Hg	200.59	#minteq.v4.dat
Hg(0)	Hg	0.0	Hg	None	#minteq.v4.dat
Hg(+2)	Hg(OH)2	0.0	Hg	None	#minteq.v4.dat
Mn	Mn+3	0.0	Mn	54.938	#minteq.v4.dat
Sb	Sb(OH)6-	0.0	Sb	121.75	#minteq.v4.dat
Sb(+5)	Sb(OH)6-	0.0	Sb	None	#minteq.v4.dat
Se(+4)	HSeO3-	0.0	Se	None	#minteq.v4.dat
Sn	Sn(OH)6-2	0.0	Sn	118.71	#minteq.v4.dat
Sn(+2)	Sn(OH)2	0.0	Sn	None	#minteq.v4.dat
Sn(+4)	Sn(OH)6-2	0.0	Sn	None	#minteq.v4.dat
Tl	Tl(OH)3	0.0	Tl	204.383	#minteq.v4.dat
Tl(+3)	Tl(OH)3	0.0	Tl	None	#minteq.v4.dat
V	VO2+	-2.0	V	50.94	#minteq.v4.dat
V(+2)	V+2	0.0	V	None	#minteq.v4.dat
Benzoate	Benzoate-	0.0	121.116	121.116	#minteq.v4.dat
Phenylacetate	Phenylacetate-	0.0	135.142	135.142	#minteq.v4.dat
Isophthalate	Isophthalate-2	0.0	164.117	164.117	#minteq.v4.dat
Diethylamine	Diethylamine	1.0	73.138	73.138	#minteq.v4.dat
Butylamine	Butylamine	1.0	73.138	73.138	#minteq.v4.dat
Methylamine	Methylamine	1.0	31.057	31.057	#minteq.v4.dat
Dimethylamine	Dimethylamine	1.0	45.084	45.084	#minteq.v4.dat
Hexylamine	Hexylamine	1.0	101.192	101.192	#minteq.v4.dat
Ethylenediamine	Ethylenediamine	2.0	60.099	60.099	#minteq.v4.dat
Propylamine	Propylamine	1.0	59.111	59.111	#minteq.v4.dat
Isopropylamine	Isopropylamine	1.0	59.111	59.111	#minteq.v4.dat
Trimethylamine	Trimethylamine	1.0	59.111	59.111	#minteq.v4.dat
Citrate	Citrate-3	2.0	189.102	189.102	#minteq.v4.dat
Propionate	Propionate-	1.0	73.072	73.072	#minteq.v4.dat
Butyrate	Butyrate-	1.0	87.098	87.098	#minteq.v4.dat
Isobutyrate	Isobutyrate-	1.0	87.098	87.098	#minteq.v4.dat
Two_picoline	Two_picoline	1.0	93.128	93.128	#minteq.v4.dat
Three_picoline	Three_picoline	1.0	93.128	93.128	#minteq.v4.dat
Four_picoline	Four_picoline	1.0	93.128	93.128	#minteq.v4.dat
Formate	Formate-	0.0	45.018	45.018	#minteq.v4.dat
Isovalerate	Isovalerate-	1.0	101.125	101.125	#minteq.v4.dat
Valerate	Valerate-	1.0	101.125	101.125	#minteq.v4.dat
Tartarate	Tartarate-2	0.0	148.072	148.072	#minteq.v4.dat
Glycine	Glycine-	1.0	74.059	74.059	#minteq.v4.dat
Salicylate	Salicylate-2	1.0	136.107	136.107	#minteq.v4.dat
Glutamate	Glutamate-2	1.0	145.115	145.115	#minteq.v4.dat
Phthalate	Phthalate-2	1.0	164.117	164.117	#minteq.v4.dat

SOLUTION_SPECIES
HAcetate = HAcetate
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
Ag+ = Ag+
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	2.5
	# source	llnl.dat
Al+3 = Al+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	9.0
	# source	llnl.dat
Am+3 = Am+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
Ar = Ar
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
Au+ = Au+
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.0
	# source	llnl.dat
B(OH)3 = B(OH)3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
Ba+2 = Ba+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
Be+2 = Be+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	8.0
	# source	llnl.dat
Br- = Br-
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
Ca+2 = Ca+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	6.0
	# source	llnl.dat
Cd+2 = Cd+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
Ce+3 = Ce+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	9.0
	# source	llnl.dat
Cl- = Cl-
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
Co+2 = Co+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	6.0
	# source	llnl.dat
CrO4-2 = CrO4-2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.0
	# source	llnl.dat
Cs+ = Cs+
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	2.5
	# source	llnl.dat
Cu+2 = Cu+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	6.0
	# source	llnl.dat
Dy+3 = Dy+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
e- = e-
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	nan
	# source	llnl.dat
Er+3 = Er+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
Ethylene = Ethylene
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
Eu+3 = Eu+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
F- = F-
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.5
	# source	llnl.dat
Fe+2 = Fe+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	6.0
	# source	llnl.dat
Ga+3 = Ga+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
Gd+3 = Gd+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
H+ = H+
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	9.0
	# source	llnl.dat
He = He
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
H2AsO4- = H2AsO4-
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.0
	# source	llnl.dat
HCO3- = HCO3-
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.0
	# source	llnl.dat
HPO4-2 = HPO4-2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.0
	# source	llnl.dat
Hf+4 = Hf+4
	log_k	0.0
	delta_h	0 
	-llnl_gamma	nan
	# source	llnl.dat
Hg+2 = Hg+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
Ho+3 = Ho+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
I- = I-
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
In+3 = In+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	9.0
	# source	llnl.dat
K+ = K+
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
Kr = Kr
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
La+3 = La+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	9.0
	# source	llnl.dat
Li+ = Li+
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	6.0
	# source	llnl.dat
Lu+3 = Lu+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
Mg+2 = Mg+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	8.0
	# source	llnl.dat
Mn+2 = Mn+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	6.0
	# source	llnl.dat
MoO4-2 = MoO4-2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.5
	# source	llnl.dat
NH3 = NH3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
Na+ = Na+
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.0
	# source	llnl.dat
Nd+3 = Nd+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	9.0
	# source	llnl.dat
Ne = Ne
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
Ni+2 = Ni+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	6.0
	# source	llnl.dat
Np+4 = Np+4
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.5
	# source	llnl.dat
H2O = H2O
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
O_phthalate-2 = O_phthalate-2
	log_k	0.0
	delta_h	0 
	-llnl_gamma	4.0
	# source	llnl.dat
Pb+2 = Pb+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.5
	# source	llnl.dat
Pd+2 = Pd+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.5
	# source	llnl.dat
Pm+3 = Pm+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	nan
	# source	llnl.dat
Pr+3 = Pr+3
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	9.0
	# source	llnl.dat
Pu+4 = Pu+4
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.5
	# source	llnl.dat
Ra+2 = Ra+2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	5.0
	# source	llnl.dat
Rb+ = Rb+
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	2.5
	# source	llnl.dat
ReO4- = ReO4-
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.0
	# source	llnl.dat
Rn = Rn
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	3.0
	# source	llnl.dat
RuO4-2 = RuO4-2
	log_k	0.0
	delta_h	0 kJ/mol 
	-llnl_gamma	4.0
	# source	llnl.dat
